gvkey,conm,cik,tic,datadate,fyear,rcp,at,lag1_at,big1_rstr,big05_rstr
023994,NORTH WEST CO INC,0001254864,NNWWF,1/31/2020,2019,-6.7,1215.536,1022.921,FALSE,TRUE
024008,MEDIMMUNE INC,0000873591,MEDI.1,12/31/2004,2004,-0.3,2564.4,2794.67,FALSE,FALSE
024021,HAEMONETICS CORP,0000313143,HAE,3/31/2004,2003,-2.69,407.394,359.208,FALSE,TRUE
024021,HAEMONETICS CORP,0000313143,HAE,3/31/2007,2006,-3.518,572.735,546.543,FALSE,TRUE
024021,HAEMONETICS CORP,0000313143,HAE,3/31/2008,2007,-6.307,608.95,572.735,TRUE,TRUE
024021,HAEMONETICS CORP,0000313143,HAE,3/31/2009,2008,-7.036,649.693,608.95,TRUE,TRUE
024021,HAEMONETICS CORP,0000313143,HAE,3/31/2010,2009,-10.814,760.66,649.693,TRUE,TRUE
024021,HAEMONETICS CORP,0000313143,HAE,3/31/2011,2010,-8.303,833.264,760.66,TRUE,TRUE
024021,HAEMONETICS CORP,0000313143,HAE,3/31/2012,2011,-19.321,911.135,833.264,TRUE,TRUE
024021,HAEMONETICS CORP,0000313143,HAE,3/31/2013,2012,-13.41,1461.917,911.135,TRUE,TRUE
024021,HAEMONETICS CORP,0000313143,HAE,3/31/2014,2013,-66.172,1514.178,1461.917,TRUE,TRUE
024021,HAEMONETICS CORP,0000313143,HAE,3/31/2015,2014,-61.418,1485.417,1514.178,TRUE,TRUE
024021,HAEMONETICS CORP,0000313143,HAE,3/31/2016,2015,-42.284,1319.128,1485.417,TRUE,TRUE
024021,HAEMONETICS CORP,0000313143,HAE,3/31/2017,2016,-34.337,1238.709,1319.128,TRUE,TRUE
024021,HAEMONETICS CORP,0000313143,HAE,3/31/2018,2017,-44.125,1237.339,1238.709,TRUE,TRUE
024021,HAEMONETICS CORP,0000313143,HAE,3/31/2019,2018,-13.623,1274.767,1237.339,TRUE,TRUE
024021,HAEMONETICS CORP,0000313143,HAE,3/31/2020,2019,-19.878,1267.11,1274.767,TRUE,TRUE
024021,HAEMONETICS CORP,0000313143,HAE,3/31/2021,2020,-15.661,1819.923,1267.11,TRUE,TRUE
024021,HAEMONETICS CORP,0000313143,HAE,3/31/2022,2021,-28.824,1859.734,1819.923,TRUE,TRUE
024021,HAEMONETICS CORP,0000313143,HAE,3/31/2023,2022,-11.549,1934.825,1859.734,FALSE,TRUE
024021,HAEMONETICS CORP,0000313143,HAE,3/31/2024,2023,-23.588,2195.591,1934.825,TRUE,TRUE
024032,JONES GROUP INC,0000874016,JNY,12/31/2002,2002,-8.8,3852.6,3373.5,FALSE,FALSE
024032,JONES GROUP INC,0000874016,JNY,12/31/2005,2005,-20.2,4577.8,4550.8,FALSE,FALSE
024032,JONES GROUP INC,0000874016,JNY,12/31/2006,2006,-77.7,3787,4577.8,TRUE,TRUE
024032,JONES GROUP INC,0000874016,JNY,12/31/2007,2007,-105.9,3236.6,3787,TRUE,TRUE
024032,JONES GROUP INC,0000874016,JNY,12/31/2008,2008,-44.1,2427.5,3236.6,TRUE,TRUE
024032,JONES GROUP INC,0000874016,JNY,12/31/2009,2009,-40.4,2025,2427.5,TRUE,TRUE
024032,JONES GROUP INC,0000874016,JNY,12/31/2010,2010,-26.1,2332.4,2025,TRUE,TRUE
024032,JONES GROUP INC,0000874016,JNY,12/31/2011,2011,-22.9,2715.3,2332.4,FALSE,TRUE
024032,JONES GROUP INC,0000874016,JNY,12/31/2012,2012,-23.1,2595.5,2715.3,FALSE,TRUE
024032,JONES GROUP INC,0000874016,JNY,12/31/2013,2013,-24.2,2511.9,2595.5,FALSE,TRUE
024040,IONIS PHARMACEUTICALS INC,0000874015,IONS,12/31/2002,2002,-1.373,438.683,417.061,FALSE,FALSE
024040,IONIS PHARMACEUTICALS INC,0000874015,IONS,12/31/2003,2003,-1.803,334.942,438.683,FALSE,FALSE
024040,IONIS PHARMACEUTICALS INC,0000874015,IONS,12/31/2004,2004,-32.427,208.425,334.942,TRUE,TRUE
024040,IONIS PHARMACEUTICALS INC,0000874015,IONS,12/31/2005,2005,-6.96,166.373,208.425,TRUE,TRUE
024040,IONIS PHARMACEUTICALS INC,0000874015,IONS,12/31/2006,2006,0.536,255.907,166.373,FALSE,FALSE
024040,IONIS PHARMACEUTICALS INC,0000874015,IONS,12/31/2020,2020,-30.7,2389.755,3233.112,FALSE,TRUE
024040,IONIS PHARMACEUTICALS INC,0000874015,IONS,12/31/2021,2021,-23.9,2611.69,2389.755,TRUE,TRUE
024044,KELMAN TECHNOLOGIES INC,,KTI.Z,12/31/2009,2009,-0.273,11.701,19.134,TRUE,TRUE
024071,APPFOLIO INC,0001433195,APPF,12/31/2021,2021,-1,408.017,389.48,FALSE,FALSE
024071,APPFOLIO INC,0001433195,APPF,12/31/2023,2023,-23.603,408.889,381.217,TRUE,TRUE
024096,APEX GLOBAL BRANDS INC,0000844161,APEX,1/31/2017,2016,-3.782,166.016,70.548,TRUE,TRUE
024096,APEX GLOBAL BRANDS INC,0000844161,APEX,1/31/2018,2017,-2.08,103.597,166.016,TRUE,TRUE
024096,APEX GLOBAL BRANDS INC,0000844161,APEX,1/31/2019,2018,-5.755,93.111,103.597,TRUE,TRUE
024096,APEX GLOBAL BRANDS INC,0000844161,APEX,1/31/2020,2019,-1.134,82.922,93.111,TRUE,TRUE
024099,LIFETIME BRANDS INC,0000874396,LCUT,12/31/2007,2007,-0.289,371.415,343.064,FALSE,FALSE
024099,LIFETIME BRANDS INC,0000874396,LCUT,12/31/2008,2008,-17.992,341.781,371.415,TRUE,TRUE
024099,LIFETIME BRANDS INC,0000874396,LCUT,12/31/2009,2009,-2.616,276.723,341.781,FALSE,TRUE
024099,LIFETIME BRANDS INC,0000874396,LCUT,12/31/2013,2013,-0.367,336.739,348.797,FALSE,FALSE
024099,LIFETIME BRANDS INC,0000874396,LCUT,12/31/2014,2014,-0.125,421.402,336.739,FALSE,FALSE
024099,LIFETIME BRANDS INC,0000874396,LCUT,12/31/2015,2015,-0.437,398.952,421.402,FALSE,FALSE
024099,LIFETIME BRANDS INC,0000874396,LCUT,12/31/2016,2016,-2.42,399.854,398.952,FALSE,TRUE
024099,LIFETIME BRANDS INC,0000874396,LCUT,12/31/2017,2017,-1.691,401.521,399.854,FALSE,FALSE
024099,LIFETIME BRANDS INC,0000874396,LCUT,12/31/2018,2018,-5.049,708.572,401.521,TRUE,TRUE
